标题,内容
脚跟疼!!谢了,"你可以去医院拍一个X片看是不是跟骨的骨刺,如需要我们的帮助可点击左边“进入其诊室”！祝早日康复！如我回答的对你满意，请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
"最近只要天气一变,我老婆的膝盖就会疼痛的不得了,而且第二天肯定下雨","建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.""膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。 "
左手腕处大骨骨折,你好。避免剧烈活动，着凉。最好的办法是关节注射玻璃酸钠，口服维骨力治疗。 
"去年我走路的时候脚跟疼,拍片后诊断长了骨刺","你这是典型腰腿综合症，是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。 "
您好 请问我右膝盖内,你好，你的情况肯定不是幻肢痛，因为幻肢痛是指患者在截肢后主观感觉已经截除的肢体依然存在并有剧烈疼痛的现象，也就是只有截肢后的人才会出现幻肢痛，你的情况可能是有关节炎症，建议去三甲医院的骨关节外科检查诊治
,
"膝被撞了,怎么办,我打球的时候被人撞了一下,当时是膝盖很痛","治疗可用中医外科膏药贴敷。中医外科膏药,纯天然中草药组成，属民间传统黑膏药,由于膏药用于肌表薄贴。因此可透入皮肤产生消炎，止痛，活血化淤，通经走络，开窍透骨，祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的。主要治疗肩周炎、颈椎病、腱鞘炎、骨膜炎、滑膜炎、膝盖积水、足跟痛、关节红肿、新旧筋骨损伤疼痛、跌打损伤、椎间盘突出等疾.通过膏药外敷,舒筋,活血,化淤,可迅速消除肿痛而达治愈目的，无任何副作用。 "
"我的女儿已八个月了,才学坐",你好，根据你的描述，不太清楚你所说的左脚盘是什么部位。方便的话可以把局部拍照片发给我看一下。如果今后我们需要点击关注的结构性发育的问题，建议要把孩子第1个让医生当面看一下或者拍一个片子再看看，希望可以帮到你，有问题可以继续追问或者。
"平时从不运动的人，跳舞后脚踝处肿痛,求教",您好，扁平足运动量大时可以出现足部疼痛，是由于结构异常所致。跳舞后脚踝肿痛，有两种可能：1、脚踝部韧带拉伤；2、腱鞘炎。可以做理疗，如无效，应该去医院诊治。 
"如果说经常跑来跑去的话,腿很酸","您好!我建议您去查查血沉和抗链0的检查如果两种结果均为阳性则考虑为风湿的可能性大,类风湿西医主要就采用理疗和抗类风湿类因子的检查,效果不佳很难根治我建议您采用中药汤剂和针灸治疗效果好 "
"左手手腕好象扭到了,可快一个月了还没好,手心向下可以正常拿东西",你好，考虑是腕关节腱鞘炎，建议口服消炎痛或是氯唑沙宗进行治疗，局部热敷，注意休息。 
"手脚的疼痛问题,,会是滑囊炎吗?","是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最好 "
"走楼梯时骨折,在饮食上有什么注意事项,吃些什么比较好","患者朋友你好：骨折饮食可分两大阶段,中医认为骨折初期不要吃大热食物(鸡鱼肉等),以后可根据中医以脏补脏的理论,多吃含钙高的食物.可以通过改善.能在骨折养病期间进行. "
"走路时间长腿筋发麻,腰椎不痛但以前着过凉","你好！考虑是腰椎退行性变病。保养注意事项：平仰卧硬板床,保暖,不宜长期弯腰劳作,负重,久坐,远行.建议您采取中医保守疗法，外贴夏氏骨炎膏药，内服中成药，其优点是见效快，且对人体无任何副作用，再加上理疗，按摩，牵引,一定可以收到很好的效果。祝早日康复！ "
右脚脚面有小的硬突起,你说的情况考虑是个付骨炎。可以外贴膏药。平时少走路/多穿软底鞋/晚上用热水泡泡脚可以达到治疗的目的。早日康复1 
脚掌总疼，是咋回事呀,"是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最好 "
我现在可以下地了吗？,
"在臀部的后面不是有一条筋吗,我总是在打足球的时候","是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留於阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。中医认为所有的痛都是风寒湿痹，痰湿，於血停留（增生，肿块，肥大，风湿都属於的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化淤、促使气血重新组合的功效)。 "
"脚后跟疼是血栓的前兆吗,恳求您尽快回复",你好，根据你的描述，脚后跟疼一般不是血栓的前兆。而有可能是痛风引起的。建议去医院化验一下血尿酸，可以到医院的风湿免疫科就诊，确诊后服用相应的药物治疗。
就是是不是多睡觉可以快点使损伤性关节炎或者是,
左跟骨骨折,从你目前的描述来看，局部骨折并没有明显的错位，这种情况进行保守治疗是可以的。这种骨折经过积极的系统治疗后一般是愈合的，一般每个月复查x片，在骨折愈合后才可以进行下地和负重活动，这一般需要两到三个月的时间。
请求答疑：运动后膝关节疼痛是怎么回事？,你好，根据你的描述，考虑你可能为膝关节滑膜炎。膝关节滑膜炎是一种无菌型炎症，是由于膝关节扭伤和多种关节内损伤而引起的。必要可考虑行MRI检查。平时注意休息，避免风寒等，可局部物理治疗或口服盐酸氨基葡萄糖治疗。
"我的左脚脚底近来突然疼痛,在中间靠近后跟部位",你好，如果是左脚体，近来突然间有疼痛，那么一般这种情况也有可能是由于，例如说筋膜炎，筋膜炎，容易出现类似这样的问题可以。检查一下
脚趾骨裂用何种药？,你好，很高兴为你答疑解惑，根据你的描述与病史，与年龄。作为骨科专科医生角度。骨裂也是骨折。，位置好没有明显错位，建议打石膏，1周后复查，如果要求高也可以手术治疗，可以加用消肿止痛的药物，如扶他林，消脱止等。。。。网上意见，病史查体检查不全，指导意见仅供参考，必要时及时医院就诊。祝你早日康复，心情舒畅，注意休息与饮食。希望采纳！
骨质增生，骨刺怎么治疗好呢？有什么办法啊，会复法吗,骨质增生，一般是退行性变引起，劳累损伤的人出现早，表现严重。骨质增生治疗主要是症状治疗，口服活血止痛药物，休息，针灸理疗治疗。如果症状严重，骨质增生引起压迫症状，可以采取手术治疗。骨质增生是退行性变，几乎一直存在，无所谓复发。
如何预防和治疗腰腿疼病,蹲膝 
关于腿矫形的问题,你好，是选择性的神经根切断术。成功率80％左右。手术后力量可能差点。或者关节融合手术。 
"我在月子里,总站着,后脚跟还着过一次凉水,现在已经８个多月了",您好，根据您的描述，如果月子时不能正常运动，脚跟脂肪垫会退化。一旦你在地上行走，退化的脂肪垫将受到水肿，充血和炎症，由于体重的压力和步行振动。随着怀孕期间体重的增加，脚步会增加，没有合适的鞋子或脚跟疼痛的选择。女性常有产后肾虚。如果他们穿拖鞋或赤脚凉鞋，不注意寒冷，可能遭受寒冷攻击，这将导致腰部和脚之间的血液循环，并导致脚跟疼痛。.祝您健康。
如何尽快散去於血,你好！如果局部组织硬，那么可能有软组织纤维化，那么恢复要慢，如果没有这种情况，那么可以通过多种方法加快淤血的吸收。如热敷或理疗促进血液循环加快，有利于吸收；另外骨折部位不要下垂，多可以抬高，以利于血液回流，促进吸收；也可以使用中药的活血化淤类药物等。也可以局部轻轻的按摩（手法不要重，旨在促进血液循环）。上述分析和意见供你参考！希望可以帮你解决问题！ 
患有骨质增生该怎么进行适当的补钙?,你好！牛奶半斤牛奶，含钙300毫克，还含有多种氨基酸、乳酸、矿物质及维生素，促进钙的消化和吸收。而且牛奶中的钙质人体更易吸取，因此，牛奶应该作为日常补钙的主要食品。其他奶类制品如酸奶、奶酪、奶片，都是良好的钙来源。海带和虾皮海带和虾皮是高钙海产品，每天吃上25克，就可以补钙300毫克呢。并且它们还能够降低血脂，预防动脉硬化。海带与肉类同煮或是煮熟后凉拌，都是不错的美食。虾皮中含钙量更高，25克虾皮就含有500毫克的钙，所以，用虾皮做汤或做馅都是日常补钙的不错选择。友情提醒：容易对海制品过敏的人们要小心食用哟。豆制品大豆是高蛋白食物，含钙量也很高。500克豆浆含钙120毫克，150克豆腐含钙就高达500毫克，其他豆制品也是补钙的良品。情提醒：豆浆需要反复煮开7次，才能够食用。而豆腐则不可与某些蔬菜同吃，比如菠菜。菠菜中含有草酸，它可以和钙相结合生成草酸钙结合物，从而妨碍人体对钙的吸收，所以豆腐以及其他豆制品均不宜与菠菜一起烹制。但，豆制品若与肉类同烹，则会味道可口，营养丰富。动物骨头动物骨头里80%以上都是钙，但是不溶于水，难以吸收，因此在制作成食物时可以事先敲碎它，加醋后用文火慢煮。吃时去掉浮油，放些青菜即可做成一道美味鲜汤。友情提醒：鱼骨也能补钙，但要注意选择合适的做法。干炸鱼、焖酥鱼都能使鱼骨酥软，更方便钙质吸收，而且可以直接食用。蔬菜蔬菜中也有许多高钙的品种。雪里蕻100克含钙230毫克；小白菜、油菜、茴香、芫荽、芹菜等每100克钙含量也在150毫克左右。友情提醒：这些绿叶蔬菜每天吃上250克就可补钙400毫克。补钙药物如今市场上的补钙药物适合于依靠食物摄入不能满足钙需求的儿童、青少年、孕/哺乳期妇女、老人，甚至于工作紧张、压力大、生活没有规律的白领女性。它的优点是操作简单，并且容易控制补充量。友情提醒：在服用时需要严格遵守医嘱，以免服用过量，反而对身体造成不良影响。一些复合维生素和钙质补充剂，因维生素本身可以和钙质产生协同作用，相对于单纯补钙来说，服用后益处更大。早日康复！ 
"打篮球时不小心将脚再次扭伤,现在好像左脚的骨头向内侧（外）",你好，建议到医院拍片子进行确诊是否有骨头病变，如果没有只是软组织韧带损伤，建议注意休息，患肢制动，局部热敷，口服舒筋活血药进行治疗，外部涂抹红花油。目前的情况必须积极的治疗，否则可以导致创伤性关节炎，就不可能彻底治愈了。 
我是左足第一跖骨远端,没有什么问题 
"活动时感觉脚踝酸疼,膝盖有时候有点僵硬结核性胸膜炎",你好，考虑是因为服用治疗结合的药物引起的副作用，建议加强补钙，增强身体锻炼，注意饮食营养，每天晚上进行热水泡脚，以促进血液循环，如果不见效果及时到医院进行CT检查，以免耽误病情。 
"近日,我的右膝关节前方内侧一直疼痛,且有轻压痛",你好１你首先要考虑你的膝关节以前受过外伤没有的．在就是到医院去拍个片检查个血看有没有骨质增生和风湿．早日康复！ 
"我的脚裸平常走路没事可是一走时间长,比如上街","您好：建议用中医的治疗方法,采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的现在药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显,抓紧治疗没有问题的.只求信任！祝早日康复！ "
胫距关节间隙内见少量积液,"建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.""膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。目前临床上治疗方法很多，想取得好的效果，防止后遗症及复发，重要的是根据您的具体情况确定治疗方法和用药，你的检查结果、发病部位、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果。 "
"脚砸伤了,有什么办法快点好？","疼痛是软组织损伤还没有完全恢复.关节损伤后软组织损伤使经络不通,气血阻滞.可通过传统中医外科膏药外帖的方法治疗.舒筋活血,消肿止痛,活血散淤,祛风散寒..使脉络畅通，气血流畅,改善周围微循环、减轻炎症反应，迅速消除肿痛.传统中医外科传膏药是一种传统黑膏药，外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而快速达到治愈目地。主要治疗膝盖积水、骨膜炎、滑膜炎、滑囊炎、腱鞘炎、足跟痛、肩周炎、跌打损伤、各种肿痛及骨伤后遗症.对患者肝、胃、肾脏等功能无任何损伤，疗效迅速、作用持久、无副作用。 "
右足踝关节撕裂性骨折,你好，请问孩子受伤大概是有多长时间了，还有什么其他症状表现没有，撕脱骨折一般治疗方法就是石膏固定，一般是一个月，小孩3周就可以了
半月板手术,你好，我是网络医生，很高兴为你服务。根据你说的情况来说，具体时损伤的程度。是哪些？一般的情况来讲，学生情况比较轻，可以不做手术，如果损伤严重的话才需要手术治疗。对于手术来说不一定是全麻，可以是腰麻。如果麻醉的话是感觉不到手术疼痛的。
不知是否是关节炎一类的?,你好，从你的症状考虑是因为受伤引起的膝关节滑膜炎，建议局部注射封闭针，加压包扎，口服中医红伤药进行治疗。 
我中间那个脚趾头骨头劈了个小岔.打石膏快一个月了.,"你好,应该是骨头没有愈合好.骨折愈合过程分三个阶段，1：血肿机化期，这一阶段纤维连接生长需约2周。2：骨痂形成期，即骨折已达临床愈合阶段，此期约需2个月。3：骨痂塑形期，骨髓腔再通，恢复原形过程需约2年。骨折损伤肿痛：骨折是指由于外伤而引起的骨与软骨的断裂，破坏了骨的完整性连续性而言。多因打击、压砸，碰撞或颠扑、负重、扭转等外力作用在躯体上所致，一般分为""完全性和不完全性""或""开放性和闭合性""两林类。症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。病因病机为外力作用，损伤骨骼，导致经络阻碍，气血凝滞，脏腑失和。治疗应尽早将骨折正确复位，骨折或关节损伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷.中医外科膏药属民间传统黑膏药，通过膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的。 "
我38岁，女，车碰引,你好！你情况在康复期建议你勿负重．久行．久站．明天晚上可以用热盐水泡泡脚促进血液循环．睡觉时可以把脚适当抬高点．饮食方面可以多吃点含钙物质．早日康复！！ 
"""我今年27岁,男性",你好，你的描述的部位，考虑3个可能性的问题，不知道你检查看过没？第一个痛风的问题，可以拍个片子，可查血尿酸看看具体情况。第二个问题考虑骨性关节炎的问题，也需要拍片检查看看。第三个原因考虑拇外翻的问题拍个脚的照片我看看
脚踝韧带受伤,
我的骨裂能好吗,你好，你这个情况就是踝部骨折的外固定术后康复的问题应该是这样的，石膏固定后1个半月内是需要卧床休息的，在床上进行功能锻炼的，1个半月后扶拐不负重下地行走开始功能锻炼，3个月后才可完全弃拐下地走路锻炼，你已经复好位并已石膏固定好且已经一周了，无须再去做手术的，感谢咨询，祝早日康复。
脚再次扭伤,你好，你说的这个情况就是脚扭伤的表现了，建议你暂时注意休息，减少脚部活动，注意脚的防风寒保暖措施，吃点三七伤、云南白药、化瘀镇痛胶囊等活血化瘀药物处理，再配合应用中医的针灸、推拿按摩、理疗、热敷等措施进行综合活疗，情况就会慢慢好转甚至痊愈的，感谢咨询，祝早日康复。
脚再次扭伤,你好，脚踝部经常扭伤容易引起创伤性关节炎，建议局部热敷，口服舒筋活血药，外涂抹红花油进行治疗，注意休息，待症状完全消失后再进行运动。 
你好，我今年２２．三,你好，单纯的踝关节骨折不会引起肌肉萎缩的，考虑是神经损伤，所以建议到大一点的三甲级医院进一步检查，然后采取对症治疗措施。 
如何治疗和有效预防关节炎,
半月板过厚,53岁女性出现膝盖疼痛的现象，提示应该存在缺钙。建议你可以到医院进行微量元素的检查和骨密度检查，针对微量元素缺失情况进行补充，平时多喝一些含钙质高的牛奶
"我从去年就足跟痛,到医院做Ｘ光确诊为足跟骨刺,当地用针刀做了一样",指导意见：
脚踝在打篮球的时候扭到了，怎么办,你好，扭伤后注意踝关节抬高，24小时冷敷，以后热敷，减少用患肢负重活动。也可以服用些活血化瘀的药物来帮助恢复的快些。 
,
骨髓炎会有遗传吗？,你好！骨髓炎不会遗传的。你要了解此病。骨髓炎又称附骨疽，分为急性骨髓炎、慢性骨髓炎、硬化性骨髓炎等，是整个骨组织的慢性化脓性疾病。本病的特点是感染的骨组织增生、硬化、坏死、死腔、包壳、瘘孔、窦道、脓肿并存，反复化脓，缠绵难愈，病程可达数年甚至数十年。慢性化脓性骨髓炎的致病因素与急性化脓性骨髓炎相同，绝大多由急性骨髓炎治疗不及时或治疗不当、不彻底转变而成，少数为开放性骨折合并感染所致，但若急性骨髓炎致病毒力较低，或病人抵抗力较强，或由皮肤创口感染的骨髓炎，也可能一开始即为亚急性或慢性骨髓炎，而无明显急性期症状。急性骨髓炎未能及时控制，形成脓肿、死骨和包壳骨，脓肿穿破皮肤外溃后得以引流，但死骨未能排出，其包壳仍存在。游离的死骨，相当于异物留存在病灶内，使病灶不能愈合。病理在演变过程中，同于机体正气对细菌的抑制和病理损害的修复，在骨质破坏的同时出现骨质增生反应，这种增生反应，随着正气的增强，愈加明显，使骨干增粗，密度增高，死腔变小乃至消失，骨髓炎愈合。若正气不足，骨质修复、增生慢，且反复化脓溃破，使正气进一步耗损，则难以愈合。 
"我小腿这段骨头经常痛,有时痛的走不了路",你好，建议到医院进行检查，考虑是痛风，检查后根据诊断对症治疗。 
关于滑膜炎,滑膜炎症状主要是关节肿胀，其次是疼痛，功能障碍，肌萎缩，所以如果发现有类似的情况应及时就诊，明确诊断，排除其它因素的可能，仔细检查，以防漏诊，避免延误病情。有些患者在没有正确诊断下，盲目的治疗，丧失了最佳治疗时机。及时有效的综合治疗经确诊后及时正规有效的治疗是很关键的，滑膜炎早期一般主要是急性期，采用西医方法，比如：激素、抽液、冲洗、抗生素等治疗，可以取得满意的疗效，若治疗不彻底，错过最佳治疗期，炎症逐渐转化为慢性期，反复积液滑膜肥厚、粘连，影响到关节的功能问题，主要运用外贴骨炎拔毒膏外出，软坚散法，活血化瘀，消肿止痛，口服骨炎太宝胶囊，补益肝肾，通经活络，祛风除湿，强骨壮筋，同时辅助九针，热敷等方法彻底治疗急慢性滑膜炎，疗效显著，2-3个疗程治愈，有些患者在用药以后症状很快控制，消失就停止治疗，但不知此时炎症并没有完全消除，容易造成积液反复，正确方法是症状消除后连续巩固15-30天时间。及时的功能锻炼和康复后保健滑膜在治疗过程中，关节要停止活动，甚至可能制动，目的是减少积液分泌，但是此方法容易引起关节功能丧失，肌萎缩，诱发关节的其它病变，我们主张治疗与功能锻炼同时进行，避免愈后并发症，药物能快速有效控制滑膜炎症，配合正确的功能活动，可以加快积液的吸收，康复后的保健至关重要，因为正常的关节容易诱发滑膜炎，何况滑膜炎的愈后，所以愈后保健是很有必要，做到以上几个方面，滑膜炎可以彻底治愈。 
4岁幼儿右胫骨近端骨,如果胫骨近端骨折没有累及关节面，骨折愈好后，一般问题不大，如果已经累及关节面，并且不属于粉碎性骨折，愈合后问题也不大，如果属于粉碎性骨折，很容易遗留创伤性关节炎的可能性。一般情况下，在骨折没有完全愈合之前，不建议下地活动，可以在床上进行非负重功能锻炼，比如说勾脚，屈膝，直腿抬高锻炼等！
小腿骨折手术1个月了，一直没有消肿，怎么办？,你好，静脉回流不畅引起，打消炎针没用。口服三七总甙片。积极锻炼即可。 
"我的宝宝3个月大,今天发现他的右手中指在手掌一面的",您好，通过您描述的情况，首先需要考虑有手指畸形的可能。建议您应该进行拍片，除外有异常增生的情况。同时应该注意保暖，不要着凉。
小脚趾骨折怎么办,你好，假如骨折了，建议石膏外固定。防止周围肌肉牵拉导致骨折错位，只是骨折延期愈合或者不愈合。患肢需要抬高，利于消肿。目前不建议手术。
,
女孩，06年6月24,你好，可以去医院复查看看，需要结合X光片的诊断结果来决定。 
末梢神经炎如何医治,
求助！！骨折61天，走路还有些坡？？？,
"我从去年足跟痛,Ｘ光拍片说长骨刺,用小针刀做了治疗","患者朋友您好：别着急，冷静的处理，别乱投医，建议用中医的治疗方法,采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的现在药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显,抓紧治疗没有问题的.只求信任！祝早日康复！ "
"我的左手中指不慎抻了,导致左手中指中节鼓个包,有肿",这样的损伤一般恢复比较慢，如治疗得当，3个月左右可以康复。建议找到好大夫给你疗伤吧。 
"本人右脚跟底部已长出骨刺,疼痛难忍","患者朋友您好：别着急，冷静的处理，别乱投医，建议用中医的治疗方法,采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的现在药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显,抓紧治疗没有问题的.只求信任！祝早日康复！ "
手指弄开了买些什么补品好啊,"您好,可以多吃含蛋白营养丰富的肉类,多吃蔬菜和水果.可以食用含钙的补品.谢谢 "
请问脚扭了为什么会肿呢？,"损伤肿痛：多因打击、压砸，碰撞或颠扑、负重、扭转等外力作用在躯体上所致，症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。损伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的。 "
膝关节疼痛,"患者朋友您好：别着急，冷静的处理，别乱投医，建议用中医的治疗方法,采用中药熬治的膏药,百年神贴.此膏药可透入皮肤产生消炎、止痛、活血化淤、通经走络、开窍透骨、祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的现在药店还没有销售,这是民间的中药熬制而成,很多患者用了此药效果非常明显,抓紧治疗没有问题的.只求信任！祝早日康复！ "
小脚趾头,你好，根据你描述的情况，近两天小脚指头有些肿痛，走路吃力。这种情况，如果排除外伤的可能，则考虑为趾间关节炎的可能性比较大，建议您去医院骨科门诊拍足部X线片以及化验血常规，尿酸协助诊断。
我母亲今年元月右脚扭,"用祖传中医外科膏药外敷治疗,祖传中医骨炎拨毒膏外科膏药是运用中药归经原则，运用药物互相协调为用的效能，组成多味药物的大复方，以发挥药物的良好效果。由于膏药用于肌表薄贴，所以膏药中取气味具厚的药物，并加以引药率领群药，开结行滞直达病所。因此可透入皮肤产生消炎，止痛，活血化淤，通经走络，开窍透骨，祛风散寒等。贴于体表的膏药刺激神经末梢，通过反射，扩张血管，促进局部血液循环，改善周围组织营养，达到消肿，消炎和镇痛的目的。如需要我们的帮助可点击左边“进入其诊室”！祝早日康复！如我回答的对你满意，请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
右膝盖受伤,"你好!这种症状是正常的,不用担心,不严重.慢慢养养会好的. "
脚后跟疼痛,你好，是脚跟纤维脂肪垫炎，建议热水烫脚，口服消炎痛或是芬必得等进行治疗即可。 
"脚扭伤后,现在经常会感觉到疼痛（在没有做任何剧烈",您好，患者的主要病因是未及时正确治疗，造成伤痛部位修复不良，局部粘连，血运变差，软组织延展性差，力量稍大易反复多次充血。最好的治疗方法是内用养筋活血汤，外用消肿去痛之药酒，效立应。冯金明 
钢板不取可以吗,"你好,只要骨头愈合后,就应该取出,因为不是身体自身的组织,会有什么影响都很难说的.不知现在骨头愈合如何,如果没有完全愈合,建议用中医用药接骨治疗,这样可以恢复更好更快(对于骨折,一般治疗在25到30天可以愈合).如果骨头愈合牢固,就可以取出钢板.有过骨伤,都需要忌服激素药物,以免影响到骨头病变,所以慎用西药. "
关于骨头突起,
膝盖手术18天，拆线已经3天，请问这种愈合程度可以,建议最好不要洗澡。如非要洗建议尽量保护伤口，不要碰水。 
妈妈的腰腿疼，怎办？,您好，骨质增生主要是由于骨质增生引发的炎症疼痛肿胀不适，主要是通过用药来消除炎症带来的不良症状，就炎症而言，一是来于骨缀对周边的慢性刺激，另一个是来源于软组织劳损退化，骨缀形成骨刺提示机体衰老加速，钙磷沉积的结果，需用中药整体抗老化调节。软组织劳损退化需物理疗法结合活血养筋汤剂调节。您可以点击照片联系我，冯金明 
生铁沫加白醋可以医治骨刺吗？？？,您好，您说的这个方法没有科学根据，铁沫的主要成份是铁；醋的主要成份是酸，没有止痛的作用，也没有消除骨剌的作用。 
我右脚第五趾拓骨骨裂17岁,你好，21天是不可以拆除石膏的，4周后可以去医院拍片复查看看骨折愈合的情况如何，骨折必须达到临床愈合才可以负重活动的，不然会形成畸形。不明之处可以咨询我。 
我后脚跟骨裂了吃什么,你好！如果骨裂没有发生完全断裂，没有移位的话，一般预后较好。一方面用药治疗，另一方面最好固定，可以石膏固定。减少活动，最好下肢抬高，这样有利血液循环，使骨折愈合的更快。如果发生移位则需要手术进行固定，以免影响以后的正常活动。上述分析和意见供你参考！希望可以帮你解决问题！ 
老公以前骨折过，现在下雨前就疼,
膝盖为什么总是凉凉的?,你好。退变早期。避免剧烈活动，着凉。口服芬必得，补钙可以缓解。最好的办法是关节注射玻璃酸钠，口服维骨力治疗。 
我是腓总神经损伤,你好！如果在恢复过程中发现肢体肌力和运动在不断好转，可以继续进行恢复，可以不考虑手术，神经损伤的恢复期至少三个月。如果恢复过程中发现并未见好转，甚至出现加重情况，那就需要进行神经肌电图检查，必要时进行手术了。
"那向外凸的那所谓“骨头”能祛除吗,会不会影响以后的生活啊",病情分析：你好，根据你的咨询，药物治疗没有很好的办法。如果症状严重，有疼痛不适的症状，可以考虑手术治疗，先不要急着考虑手术。可以到医院的整骨科咨询医生，有很多情况都是可以通过手法进行整骨复位的，整骨的方法矫正形态。
打篮球时膝盖扭了一下过了两个多月了还是一运动就痛说,"你好疼痛是软组织损伤还没有完全恢复.建议最好采用外用药物治疗，可外敷舒筋活血,消肿止痛,活血散淤,祛风散寒的传统中医外科膏药治疗.""膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。 "
"今天去医院检查,没有拍片子,只是看了看",不知道具体的位置什么地方，韧带损伤现在有多长时间了？根据你的描述之前韧带有损伤过吗？不知道具体的位置，一般情况下韧带拉伤休息不好可引起韧带的松弛，对关节的保护性变差，补钙可以补，但对韧带恢复没什么太大的作用。
幼儿腕部尺骨挠骨骨折如何治疗,没有手术的必要，腕部骨折，只要没有明显成角或短缩畸形，愈合后没有影响。 
"手术2个月,钢板容易断裂吗",你好，不容易。除非外力【暴力，扭转】引起。建议医院复查。 
"大腿骨折,打了钢板,多久能正常走路,多久能上学",你好。一个月可以拄双拐行走，半年后单拐。9月1号开学即可。 
膝盖手术两星期后不能弯曲，请指教！,你好，根据你所描述的这种情况来看，如果出现了膝关节手术后活动受限的情况发生这种情况下，个人建议可以到康复科进行康复功能锻炼，自行锻炼，效果可能比较差
继婆婆右脚摔伤后留下后遗症的问题,目前这种情况来说呢，有可能是造成了一些损伤的情况，引起这种状况，这种情况当然也不要随便去使用一些药物，还是要按照正规的治疗方式去改善才可以，比如针灸理论按摩的方式是更好的
模特罗圈怎么办?,你好，已经承认了有罗圈腿儿，这种办法很难治疗，除非通过开放性手术进行治疗，但是有一定的创伤性，我认为没有必要，罗圈腿一般都是小时候缺钙导致。
